Date,Target Name,Target Tags,Target Description,Revenue,Revenue Year,Sector,Buyers,Sellers,Valorisation,Operation Type,Transaction Amount
17 déc. 2024,FINANCIERE TIEPOLO,"France |, Île-de-France",Société de gestion privée qui propose notamment des services de gestion privée sous mandat,20,2024,N/A,,n.d.,n.d.,Refinancement,N/A
17 déc. 2024,SOCHIM,"Italie |, Etranger",Fabricant de compléments alimentaires avec des ingrédients naturels,33,2023,"Santé, beauté et services associés","NATURACARE, DENTRESSANGLE CAPITAL",FONDATEUR(S),n.d.,Build-up international,n.d.
17 déc. 2024,FEU VERT,"France |, Auvergne-Rhône-Alpes","Groupe de centres d’entretien, réparation et d’équipement pour les véhicules à deux ou quatre roues",900,2023,"Automobile, aérospatial, construction navale",,n.d.,n.d.,Refinancement,N/A
17 déc. 2024,PULSE AUDITION,"France |, Région Sud - Provence-A",Solutions de réduction du bruit et de rehaussement de la voix basées sur des algorithmes intégrant l'intelligence artificielle,,N/A,Produits Pharmaceutiques & matériel médical,ESSILOR-LUXOTTICA,FONDATEUR(S),0-20 M€,M&A Corporate,0-20
17 déc. 2024,VALEURS & CONSEILS (V&C),"France |, Hauts-de-France",Conseil en gestion de patrimoine,3,2023,N/A,"METAGRAM, MEANINGS CAPITAL PARTNERS",FONDATEUR(S),10-15 M€,Build-up,10-15
17 déc. 2024,OCTO AM,"France |, Île-de-France",Société de gestion financière,,N/A,N/A,"AMPLEGEST, CYRUS/MAISON HEREZ, BRIDGEPOINT",FONDATEUR(S),n.d.,Fusion,n.d.
17 déc. 2024,GENERATION SNACKING,"France |, Hauts-de-France",Fabricant de pâtisseries et de sandwichs pour clients grands comptes,10,2024,N/A,TURENNE GROUPE,"FONDATEUR(S)
                    
                                                ,                                                            
                                                                        MANAGER(S)",0-20 M€,LBO Primaire,0-20
16 déc. 2024,CANAL+ GROUPE,"France |, Île-de-France",Éditeur de chaînes de télévision payante,6 200,2023,"Média, Marketing/Communication et Télécom",LONDON STOCK EXCHANGE G...,VIVENDI,7 400 M€,IPO,n.d.
16 déc. 2024,NOYER INTERIEUR,"France |, Pays de la Loire",Décorateur & rénovateur d’intérieur,,N/A,"Textile, Mode, Luxe, Décoration",,FONDATEUR(S),n.d.,M&A Corporate,n.d.
16 déc. 2024,PAPETERIE PROVENCALE,"France |, Région Sud - Provence-A","Distributeur d'emballages alimentaires, principalement en papier et pour le segment de la boulangerie-pâtisserie",15,2023,Produits & Services industriels,"TINI (BBA EMBALLAGES), ATTIS, BNP PARIBAS DEVELOPPEMENT, SOCIETE GENERALE CAPITA...",MANAGER(S),10-15 M€,Build-up,n.d.
16 déc. 2024,SYNERGIE CONSEILS PATRIMOINE,"France |, Île-de-France",Cabinet spécialisé dans le conseil en stratégie patrimoniale et en investissements (conseil en gestion de patrimoine),1.30,2023,N/A,"ASTORIA FINANCE, NAXICAP PARTNERS",FONDATEUR(S),5-10 M€,Build-up,5-10
16 déc. 2024,PARISII GESTION PRIVEE,"France |, Île-de-France",Conseil en gestion de patrimoine (CGP),1,2023,N/A,"ASTORIA FINANCE, NAXICAP PARTNERS","FONDATEUR(S)
                    
                                                ,                                                            
                                                                        MANAGER(S)",0-20 M€,Build-up,0-20
16 déc. 2024,HAVAS,"France |, Île-de-France",Groupe publicitaire et conseil en communication,2 872,2023,"Média, Marketing/Communication et Télécom",LONDON STOCK EXCHANGE G...,VIVENDI,3 400 M€,Spin Off,n.d.
16 déc. 2024,LOUIS HACHETTE GROUP,"France |, Île-de-France","Louis Hachette Group réunit Lagardère et Prisma Media. Acteur dans les domaines de l’Édition, du Travel Retail et des Médias.",8 390,2023,"Média, Marketing/Communication et Télécom",LONDON STOCK EXCHANGE G...,VIVENDI,2 100 M€,Spin Off,n.d.
16 déc. 2024,ACTIVITÉS MON PER D’INTER INVEST,"France |, Île-de-France",Activité de PER compte-titres d'Inter invest : plateforme en ligne servant à l'investissement dans un compte PER bancaire,,N/A,N/A,SHARES,GROUPE INTER INVEST,0-20 M€,Carve-out,0-20
16 déc. 2024,SIA PARTNERS,"France |, Île-de-France","Cabinet de conseil en stratégie, management et en IA.",485,2024,Services & Conseil aux entreprises,BLACKSTONE,n/a,>1000 M€,Augmentation de capital,N/A
16 déc. 2024,NUTRI&CO (NUTRI & CO),"France |, Région Sud - Provence-A",Développement et commercialisation de produits nutraceutiques en ligne,,N/A,"Santé, beauté et services associés",GOODGROWER,CREADEV,20-50 M€,Cession de titres,n.d.
16 déc. 2024,TRANSDEV,"France |, Île-de-France",Transport collectif,,N/A,N/A,RETHMANN,"CAISSE DES DEPOTS ET CO...
                                                    
                            ,                                                            
                                                                        MANAGER(S)",>1000 M€,Cession de titres,n.d.
